# format	robotrace-shortcut-course-v1
# course_id	2012alljapan_pre
# source_file	examples/synthetic/2012alljapan_pre.json
# source_hash	b9cb6bca387886a6b380c63112b85fd48e0fa682ad92f4fa794fce2989730df9
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
6780	-1308.12646	-850.165161
6790	-1318.10388	-850.821045
6800	-1328.03601	-851.974792
6810	-1337.89807	-853.623474
6820	-1347.66553	-855.763
6830	-1357.31372	-858.388062
6840	-1366.81873	-861.492004
6850	-1376.15662	-865.067139
6860	-1385.30432	-869.104492
6870	-1394.23865	-873.593994
6880	-1402.9375	-878.524475
6890	-1411.37903	-883.883484
6900	-1419.54224	-889.657715
6910	-1427.40662	-895.832703
6920	-1434.95251	-902.393066
6930	-1442.16113	-909.322388
6940	-1449.01453	-916.603271
6950	-1455.49524	-924.21759
6960	-1461.58752	-932.146301
6970	-1467.27576	-940.369629
6980	-1472.5459	-948.866943
6990	-1477.38489	-957.617004
7000	-1481.7804	-966.598022
7010	-1485.72156	-975.787476
7020	-1489.19861	-985.162415
7030	-1492.20264	-994.699463
7040	-1494.72632	-1004.37469
7050	-1496.76331	-1014.164
7060	-1498.30835	-1024.04285
7070	-1499.35791	-1033.98657
7080	-1499.90906	-1043.97034
7090	-1499.96057	-1053.96912
7100	-1499.51233	-1063.95801
7110	-1498.56543	-1073.91211
7120	-1497.12207	-1083.80627
7130	-1495.18616	-1093.61609
7140	-1492.76233	-1103.31677
7150	-1489.85669	-1112.88428
7160	-1486.47656	-1122.29456
7170	-1482.63025	-1131.52417
7180	-1478.32751	-1140.54993
7190	-1473.5791	-1149.34949
7200	-1468.39673	-1157.90063
7210	-1462.79346	-1166.18213
7220	-1456.78333	-1174.17322
7230	-1450.38135	-1181.85388
7240	-1443.60339	-1189.20508
7250	-1436.46667	-1196.20825
7260	-1428.98865	-1202.84607
7270	-1421.18835	-1209.10181
7280	-1413.08521	-1214.95984
7290	-1404.69922	-1220.40564
7300	-1396.05164	-1225.42542
7310	-1387.16406	-1230.00671
7320	-1378.05847	-1234.13818
7330	-1368.75793	-1237.80933
7340	-1359.2854	-1241.01111
7350	-1349.66479	-1243.73547
7360	-1339.91992	-1245.97546
7370	-1330.07532	-1247.72571
7380	-1320.15564	-1248.98181
7390	-1310.18542	-1249.74048
7400	-1300.18982	-1249.99988
7410	-1290.18982	-1250
7420	-1280.18982	-1250
7430	-1270.18982	-1250
7440	-1260.18982	-1250
7450	-1250.18982	-1250
7460	-1240.18982	-1250
7470	-1230.18982	-1250
7480	-1220.18982	-1250
7490	-1210.18982	-1250
7500	-1200.18982	-1250
7510	-1190.18982	-1250
7520	-1180.18982	-1250
7530	-1170.18982	-1250
7540	-1160.18982	-1250
7550	-1150.18982	-1250
7560	-1140.18982	-1250
7570	-1130.18982	-1250
7580	-1120.18982	-1250
7590	-1110.18982	-1250
7600	-1100.18982	-1250
7610	-1090.18982	-1250
7620	-1080.18982	-1250
7630	-1070.18982	-1250
7640	-1060.18982	-1250
7650	-1050.18982	-1250
7660	-1040.18982	-1250
7670	-1030.18982	-1250
7680	-1020.18988	-1250
7690	-1010.18988	-1250
7700	-1000.18988	-1250
7710	-990.18988	-1250
7720	-980.18988	-1250
7730	-970.18988	-1250
7740	-960.18988	-1250
7750	-950.18988	-1250
7760	-940.18988	-1250
7770	-930.18988	-1250
7780	-920.18988	-1250
7790	-910.18988	-1250
7800	-900.18988	-1250
7810	-890.18988	-1250
7820	-880.18988	-1250
7830	-870.18988	-1250
7840	-860.18988	-1250
7850	-850.18988	-1250
7860	-840.18988	-1250
7870	-830.18988	-1250
7880	-820.18988	-1250
7890	-810.18988	-1250
7900	-800.18988	-1250
7910	-790.18988	-1250
7920	-780.18988	-1250
7930	-770.18988	-1250
7940	-760.18988	-1250
7950	-750.18988	-1250
7960	-740.18988	-1250
7970	-730.18988	-1250
7980	-720.18988	-1250
7990	-710.18988	-1250
8000	-700.18988	-1250
8010	-690.18988	-1250
8020	-680.18988	-1250
8030	-670.18988	-1250
8040	-660.18988	-1250
8050	-650.18988	-1250
8060	-640.18988	-1250
8070	-630.18988	-1250
8080	-620.18988	-1250
8090	-610.18988	-1250
8100	-600.18988	-1250
8110	-590.18988	-1250
8120	-580.18988	-1250
8130	-570.18988	-1250
8140	-560.18988	-1250
8150	-550.18988	-1250
8160	-540.18988	-1250
8170	-530.18988	-1250
8180	-520.18988	-1250
8190	-510.18988	-1250
8200	-500.18988	-1250
8210	-490.18988	-1250
8220	-480.18988	-1250
8230	-470.18988	-1250
8240	-460.18988	-1250
8250	-450.18988	-1250
8260	-440.18988	-1250
8270	-430.18988	-1250
8280	-420.18988	-1250
8290	-410.18988	-1250
8300	-400.18988	-1250
8310	-390.18988	-1250
8320	-380.18988	-1250
8330	-370.18988	-1250
8340	-360.18988	-1250
8350	-350.18988	-1250
8360	-340.18988	-1250
8370	-330.18988	-1250
8380	-320.18988	-1250
8390	-310.18988	-1250
8400	-300.18988	-1250
8410	-290.18988	-1250
8420	-280.18988	-1250
8430	-270.18988	-1250
8440	-260.18988	-1250
8450	-250.18988	-1250
8460	-240.18988	-1250
8470	-230.18988	-1250
8480	-220.18988	-1250
8490	-210.18988	-1250
8500	-200.18988	-1250
8510	-190.18988	-1250
8520	-180.18988	-1250
8530	-170.18988	-1250
8540	-160.18988	-1250
8550	-150.18988	-1250
8560	-140.18988	-1250
8570	-130.18988	-1250
8580	-120.189873	-1250
8590	-110.189873	-1250
8600	-100.189873	-1250
8610	-90.1938095	-1249.7594
8620	-80.2222519	-1249.01965
8630	-70.3001328	-1247.78247
8640	-60.45224	-1246.0509
8650	-50.7032013	-1243.82935
8660	-41.0773811	-1241.12329
8670	-31.5988331	-1237.93958
8680	-22.2912521	-1234.28601
8690	-13.1779041	-1230.17188
8700	-4.28156614	-1225.60742
8710	4.37552595	-1220.60413
8720	12.7717333	-1215.17432
8730	20.8860703	-1209.33154
8740	28.6982555	-1203.0907
8750	36.1887627	-1196.46716
8760	43.3388672	-1189.47754
8770	50.1306992	-1182.13916
8780	56.5472832	-1174.4707
8790	62.5725822	-1166.49097
8800	68.1915283	-1158.22021
8810	73.3900909	-1149.67883
8820	78.1552658	-1140.88843
8830	82.4751434	-1131.87073
8840	86.5455551	-1122.73669
8850	90.6153412	-1113.60229
8860	94.6851349	-1104.4679
8870	98.7549286	-1095.3335
8880	102.824715	-1086.19922
8890	106.894508	-1077.06482
8900	110.964302	-1067.93042
8910	115.034088	-1058.79602
8920	119.103882	-1049.66162
8930	123.173668	-1040.52734
8940	127.243462	-1031.39294
8950	131.313248	-1022.25854
8960	135.383041	-1013.12415
8970	139.452835	-1003.98981
8980	143.522629	-994.855408
8990	147.592422	-985.721069
9000	151.662201	-976.58667
9010	155.731995	-967.452271
9020	159.801788	-958.317932
9030	163.871582	-949.183533
9040	167.941376	-940.049194
9050	172.011169	-930.914795
9060	176.080948	-921.780396
9070	180.150742	-912.646057
9080	184.220535	-903.511658
9090	188.290329	-894.377319
9100	192.360123	-885.24292
9110	196.429901	-876.108521
9120	200.499695	-866.974182
9130	204.569489	-857.839783
9140	208.639282	-848.705444
9150	212.709076	-839.571045
9160	217.041016	-830.560059
9170	221.962265	-821.856934
9180	227.452377	-813.500977
9190	233.486923	-805.529358
9200	240.039139	-797.977417
9210	247.079865	-790.878784
9220	254.57785	-784.264893
9230	262.499786	-778.165222
9240	270.810455	-772.606812
9250	279.472961	-767.614441
9260	288.448792	-763.210205
9270	297.69809	-759.413696
9280	307.179749	-756.24176
9290	316.851654	-753.708557
9300	326.670837	-751.825256
9310	336.593658	-750.600281
9320	346.57605	-750.039062
9330	356.573639	-750.144104
9340	366.542023	-750.914917
9350	376.43692	-752.348083
9360	386.214386	-754.437256
9370	395.830933	-757.173096
9380	405.243866	-760.543518
9390	414.411346	-764.533508
9400	423.292694	-769.125305
9410	431.848389	-774.298584
9420	440.040466	-780.030334
9430	447.832489	-786.295105
9440	455.18988	-793.065002
9450	462.079926	-800.310059
9460	468.472046	-807.997925
9470	474.337799	-816.094604
9480	479.651123	-824.564026
9490	484.548309	-833.282715
9500	489.425568	-842.012695
9510	494.302826	-850.742676
9520	499.180084	-859.472656
9530	504.057343	-868.202576
9540	508.934601	-876.932556
9550	513.81189	-885.662537
9560	518.689148	-894.392517
9570	523.566406	-903.122498
9580	528.443665	-911.852417
9590	533.320923	-920.582397
9600	538.198181	-929.312378
9610	543.075439	-938.042358
9620	547.952698	-946.772339
9630	552.829956	-955.502319
9640	557.707214	-964.232239
9650	562.584473	-972.962219
9660	567.461731	-981.6922
9670	572.338989	-990.42218
9680	577.216248	-999.152161
9690	582.093506	-1007.88208
9700	586.970764	-1016.61206
9710	591.848022	-1025.34204
9720	596.725281	-1034.07202
9730	601.602539	-1042.802
9740	606.479797	-1051.53198
9750	611.357056	-1060.26196
9760	616.234314	-1068.99182
9770	621.111572	-1077.7218
9780	625.988831	-1086.45178
9790	630.866089	-1095.18176
9800	635.743347	-1103.91174
9810	640.620605	-1112.64172
9820	645.497864	-1121.3717
9830	650.375122	-1130.10168
9840	655.25238	-1138.83167
9850	660.129639	-1147.56165
9860	665.006897	-1156.2915
9870	669.884155	-1165.02148
9880	674.761414	-1173.75146
9890	679.638672	-1182.48145
9900	684.51593	-1191.21143
9910	689.393188	-1199.94141
9920	694.270447	-1208.67139
9930	699.147705	-1217.40137
9940	704.024963	-1226.13135
9950	708.902222	-1234.86133
9960	713.77948	-1243.59131
9970	718.656738	-1252.32117
9980	723.533997	-1261.05115
9990	728.411255	-1269.78113
10000	733.288513	-1278.51111
10010	738.165771	-1287.24109
10020	743.04303	-1295.97107
10030	747.920288	-1304.70105
10040	752.797546	-1313.43103
10050	757.674805	-1322.16101
10060	762.552063	-1330.89099
10070	767.429321	-1339.62085
10080	772.30658	-1348.35083
10090	777.122253	-1357.1145
10100	781.543213	-1366.08301
10110	785.510437	-1375.26135
10120	789.013977	-1384.62634
10130	792.045105	-1394.15479
