# format	robotrace-shortcut-course-v1
# course_id	2025kansai
# source_file	examples/synthetic/2025kansai.json
# source_hash	3fba41f5cb6c18c170753adaedefe5e98d896bde0f302cd02197e4860108fcf6
# line_width_mm	19.000000
distance_mm	line_x_mm	line_y_mm
5020	-859.134094	-2515.08813
5030	-866.186218	-2507.99878
5040	-872.998169	-2500.67847
5050	-879.562317	-2493.13501
5060	-885.87146	-2485.3772
5070	-891.918518	-2477.41309
5080	-897.696777	-2469.2522
5090	-903.19989	-2460.90308
5100	-908.421692	-2452.37524
5110	-913.356384	-2443.67822
5120	-917.998474	-2434.82153
5130	-922.342773	-2425.81494
5140	-926.384583	-2416.6687
5150	-930.119263	-2407.39282
5160	-933.542725	-2397.99756
5170	-936.651245	-2388.49341
5180	-939.441223	-2378.89087
5190	-941.909668	-2369.20093
5200	-944.053772	-2359.43384
5210	-945.871155	-2349.60083
5220	-947.359863	-2339.71289
5230	-948.518188	-2329.78052
5240	-949.344849	-2319.81519
5250	-949.838989	-2309.82788
5260	-949.999939	-2299.82983
5270	-949.827637	-2289.83179
5280	-949.322205	-2279.84497
5290	-948.484192	-2269.88062
5300	-947.314575	-2259.94971
5310	-945.814697	-2250.06323
5320	-943.986084	-2240.23242
5330	-941.830872	-2230.46777
5340	-939.351501	-2220.78052
5350	-936.550598	-2211.1814
5360	-933.431335	-2201.68066
5370	-929.997192	-2192.28931
5380	-926.251953	-2183.01758
5390	-922.199829	-2173.87598
5400	-917.845215	-2164.87451
5410	-913.193115	-2156.02295
5420	-908.248535	-2147.33154
5430	-903.01709	-2138.80957
5440	-897.504517	-2130.4668
5450	-891.71698	-2122.31226
5460	-885.660828	-2114.35522
5470	-879.342957	-2106.60449
5480	-872.770203	-2099.0686
5490	-865.949951	-2091.75586
5500	-858.889832	-2084.67456
5510	-851.597595	-2077.83252
5520	-844.081421	-2071.2373
5530	-836.349609	-2064.89624
5540	-828.410706	-2058.81616
5550	-820.273621	-2053.00439
5560	-811.947388	-2047.4668
5570	-803.441223	-2042.20984
5580	-794.764526	-2037.23926
5590	-785.927063	-2032.56055
5600	-776.938538	-2028.17908
5610	-767.809021	-2024.09961
5620	-758.548584	-2020.32666
5630	-749.167603	-2016.86438
5640	-739.676392	-2013.71667
5650	-730.085571	-2010.88708
5660	-720.405762	-2008.37866
5670	-710.647766	-2006.19421
5680	-700.822327	-2004.33618
5690	-690.940491	-2002.80664
5700	-681.013123	-2001.6073
5710	-671.051331	-2000.7395
5720	-661.066101	-2000.20422
5730	-651.068604	-2000.00195
5740	-641.068604	-2000
5750	-631.068604	-2000
5760	-621.068604	-2000
5770	-611.068604	-2000
5780	-601.068604	-2000
5790	-591.068604	-2000
5800	-581.068604	-2000
5810	-571.068604	-2000
5820	-561.068604	-2000
5830	-551.068604	-2000
5840	-541.068604	-2000
5850	-531.068604	-2000
5860	-521.068604	-2000
5870	-511.068634	-2000
5880	-501.068634	-2000
5890	-491.068634	-2000
5900	-481.068634	-2000
5910	-471.068634	-2000
5920	-461.068634	-2000
5930	-451.068634	-2000
5940	-441.068634	-2000
5950	-431.068634	-2000
5960	-421.068634	-2000
5970	-411.068634	-2000
5980	-401.068634	-2000
5990	-391.068634	-2000
6000	-381.068634	-2000
6010	-371.068634	-2000
6020	-361.068634	-2000
6030	-351.068634	-2000
6040	-341.068634	-2000
6050	-331.068634	-2000
6060	-321.068634	-2000
6070	-311.068634	-2000
6080	-301.068634	-2000
6090	-291.068634	-2000
6100	-281.068634	-2000
6110	-271.068634	-2000
6120	-261.068634	-2000
6130	-251.068634	-2000
6140	-241.068634	-2000
6150	-231.068634	-2000
6160	-221.068634	-2000
6170	-211.068634	-2000
6180	-201.068634	-2000
6190	-191.068634	-2000
6200	-181.068634	-2000
6210	-171.068634	-2000
6220	-161.068634	-2000
6230	-151.068634	-2000
6240	-141.068634	-2000
6250	-131.068634	-2000
6260	-121.068626	-2000
6270	-111.068626	-2000
6280	-101.068626	-2000
6290	-91.0715942	-2000.19934
6300	-81.0968857	-2000.89526
6310	-71.169426	-2002.08887
6320	-61.3140221	-2003.77722
6330	-51.5553169	-2005.95593
6340	-41.9176979	-2008.61963
6350	-32.425251	-2011.76172
6360	-23.1017094	-2015.37427
